"contract_id","source_tier","sample_id","qc_cells","raw_genes","counts_sha256","raw_cache_bytes","raw_cache_sha256","selection_axes","selected_cells_per_axis","selection_axis_sha256","normalization_fit_scope","topology_observation_scope","exact500_panel_sha256","outcome_label_state","biological_outcomes_computed"
"mv08n_internal_source_axis_v1","added34","SRA742961_SRS3565202",5748,22933,"1275129386396737c1d929fe10ee4818ceb128f983892ec04521f62fdd302c3c",19006266,"c8e926b5ebedc643726aa087aae077d772596eb0a70170a2ea9d96555ee5efe6",5,384,"240a9fc018871855c030a19e69ead3bbda693cb7780884f659e0f8f4266be651","all_frozen_qc_cells_per_sample","frozen_selected384_per_seed","48e881ee753893bfaecd7101fc16fbcb552dd30a2a791fedfc7204d7b322a32e","closed",FALSE
"mv08n_internal_source_axis_v1","added34","SRA742961_SRS3565203",6335,22023,"31086aabde4abac327fa3993b0ccbbcda36d00bc3b36981892485dcccb002618",22607952,"a93f6d0f83c5c709834efd464dfcfffa6de76def082fa0a520e3ec30acab07ee",5,384,"c7787f3f3f0c1dde0204ff7495f728de6e85fe04fda7746e7aab83f141891893","all_frozen_qc_cells_per_sample","frozen_selected384_per_seed","48e881ee753893bfaecd7101fc16fbcb552dd30a2a791fedfc7204d7b322a32e","closed",FALSE
"mv08n_internal_source_axis_v1","added34","SRA742961_SRS3565204",4900,22971,"df47d75cd72d4d6c6d8ffb219510ab9a99e886e4388102e093354d9c7c7a6b23",16099753,"92d5caf84ddd90cf4bc7a388c021a7e246f87474d79e5417b106dc777587f29a",5,384,"1503d785ae71536cc1c4b7e86c72947e4b17d2831befcb589bd88102ac57139b","all_frozen_qc_cells_per_sample","frozen_selected384_per_seed","48e881ee753893bfaecd7101fc16fbcb552dd30a2a791fedfc7204d7b322a32e","closed",FALSE
"mv08n_internal_source_axis_v1","added34","SRA742961_SRS3565205",4751,20996,"01adf5dbe87b3236b0faed456deecc929f95221f03b13de5c7b0d3fad6f67212",15672522,"344600cdd86d43c185799b458c8f11626fbc2601371d0b294e3515b0ed54e723",5,384,"f62595845495d5f484191932cac6720e3a29fb065ef1ad67649bc1bc06e3cc89","all_frozen_qc_cells_per_sample","frozen_selected384_per_seed","48e881ee753893bfaecd7101fc16fbcb552dd30a2a791fedfc7204d7b322a32e","closed",FALSE
"mv08n_internal_source_axis_v1","added34","SRA742961_SRS3565206",6956,21281,"0e7bf565db1ced34eaa8fe6d41eafb0d6f984a07f14e3a98c7c4a9c46b140cf5",15067605,"0c972cdc8ea76f486f5d5bee9dfb3a460e9ffb0774e30a806ed049facc6f7712",5,384,"598d419e9a38a82e0c6f6436e7904bf63bddce67506e510fe5ee1e8ebe9ead1b","all_frozen_qc_cells_per_sample","frozen_selected384_per_seed","48e881ee753893bfaecd7101fc16fbcb552dd30a2a791fedfc7204d7b322a32e","closed",FALSE
"mv08n_internal_source_axis_v1","added34","SRA742961_SRS3565207",6257,23251,"00bef55c002c58c62e4db878be0e136a53271923e8141f5d6e078a458043e03e",20927751,"6917cc2087585a51f10f053523be79ec2658df84cdce7bc3884e9dba2abed723",5,384,"3122f72001c26b0a870fd97b3b16eb79b0b7ecb37f2cf0e04115f9f5a2d3d454","all_frozen_qc_cells_per_sample","frozen_selected384_per_seed","48e881ee753893bfaecd7101fc16fbcb552dd30a2a791fedfc7204d7b322a32e","closed",FALSE
"mv08n_internal_source_axis_v1","added34","SRA742961_SRS3565208",8118,22816,"015e4799bc959dafc87b122ada9ba8aa9fd6c151fb5df6d8d6c9a615f2b531a7",17873589,"3ec23b8bab305c7362ad566dd30ace4b734b13fdf371a8819f23b871e98a453b",5,384,"ea158b4e5581b99105df399b26fb997615ad99d331d6e9dc629f3da9a338d276","all_frozen_qc_cells_per_sample","frozen_selected384_per_seed","48e881ee753893bfaecd7101fc16fbcb552dd30a2a791fedfc7204d7b322a32e","closed",FALSE
"mv08n_internal_source_axis_v1","added34","SRA742961_SRS3565209",7044,22805,"6f59c19a1344c04c5d8228f21de6fb0e090ac8616ab414725be576a2e72e9f7e",19163734,"ca37f74346a514907fc46f9a6c673ad80f9260b1182e59b61743abc375993858",5,384,"872116a73ed492c390052d30e146d905c6e01dbb1a13ab6a47b8f6ef192e3c20","all_frozen_qc_cells_per_sample","frozen_selected384_per_seed","48e881ee753893bfaecd7101fc16fbcb552dd30a2a791fedfc7204d7b322a32e","closed",FALSE
"mv08n_internal_source_axis_v1","added34","SRA742961_SRS3565210",5566,23138,"c17d319976c868fcac661ea897e933ed14a3676ed426b79d099c770bb96231b9",20635301,"26c4a262315625215bb1bd45a856b95b5695fd9565e34e12ed125c892f5b79b0",5,384,"4c96ff6a2d3f8ac8adad7d6bf133d20c6c059405717cae0b81aa10bfe3cb4e8d","all_frozen_qc_cells_per_sample","frozen_selected384_per_seed","48e881ee753893bfaecd7101fc16fbcb552dd30a2a791fedfc7204d7b322a32e","closed",FALSE
"mv08n_internal_source_axis_v1","added34","SRA742961_SRS3565211",5981,22612,"f2b608fd834cf8e45080728b13e01904928f08dd6c68ed02068c801bf98bbab9",21076410,"cc6da3134b009dc572f371a954560678e0837e03952f8fbd09bb7b0a2f5d4394",5,384,"6e22a158f008afaf9311d8051465d3950b6e664dd5d8842cca383078b91fce18","all_frozen_qc_cells_per_sample","frozen_selected384_per_seed","48e881ee753893bfaecd7101fc16fbcb552dd30a2a791fedfc7204d7b322a32e","closed",FALSE
