"contract_id","job_order","dataset_scope","source_tier","unit_id","fit_cells","selected_axes","selected_cells_per_axis","source_sha256","sentinel_role","authorization_state","repeat_required","output_file","elapsed_cap_seconds","rss_cap_bytes","workers","retries","outcome_label_state","biological_outcomes_computed"
"mv08n_residual_source_queue_v1",26,"internal124","primary90","SRA645804_SRS2823412",3846,5,384,"4061648ed52f91d660938ed97bced4bf4cb3eb07ecee7cf239ae4f0d9b54c1db","none","closed_pending_sentinel",FALSE,"internal/SRA645804_SRS2823412__exact500_allqc_sct_model.rds",1800,12884901888,1,0,"closed",FALSE
"mv08n_residual_source_queue_v1",27,"internal124","primary90","SRA645804_SRS3572594",4035,5,384,"5664fe0cb2e4743e62b68cbf9d3a7be3bf57879dfd2309cb1bc615ebc34bf48b","none","closed_pending_sentinel",FALSE,"internal/SRA645804_SRS3572594__exact500_allqc_sct_model.rds",1800,12884901888,1,0,"closed",FALSE
"mv08n_residual_source_queue_v1",28,"internal124","primary90","SRA667709_SRS3065426",1118,5,384,"e71206776bef802869b2cbb1736f22f3a423bd66a681f4665cd410160f6e1ec3","none","closed_pending_sentinel",FALSE,"internal/SRA667709_SRS3065426__exact500_allqc_sct_model.rds",1800,12884901888,1,0,"closed",FALSE
"mv08n_residual_source_queue_v1",29,"internal124","primary90","SRA667709_SRS3065427",1945,5,384,"1db48a5dabb0f6309b446b4cd05f8451519fcac114bc0e556d0748447472906d","none","closed_pending_sentinel",FALSE,"internal/SRA667709_SRS3065427__exact500_allqc_sct_model.rds",1800,12884901888,1,0,"closed",FALSE
"mv08n_residual_source_queue_v1",30,"internal124","primary90","SRA667709_SRS3065428",1315,5,384,"24313ba775754ee7caef8d015ea8d04f32106a9c665113a67dc6deefc8d39285","none","closed_pending_sentinel",FALSE,"internal/SRA667709_SRS3065428__exact500_allqc_sct_model.rds",1800,12884901888,1,0,"closed",FALSE
"mv08n_residual_source_queue_v1",31,"internal124","primary90","SRA667709_SRS3065429",1847,5,384,"aaacb464a266ce35fcbba771f8a4ab5196431288bc0628d5e62fb757d2a7871b","none","closed_pending_sentinel",FALSE,"internal/SRA667709_SRS3065429__exact500_allqc_sct_model.rds",1800,12884901888,1,0,"closed",FALSE
"mv08n_residual_source_queue_v1",32,"internal124","primary90","SRA667709_SRS3065430",1486,5,384,"04b650aa6402e79a241735857ec7728b008fbacd571b790f549cc3a29824dbb1","none","closed_pending_sentinel",FALSE,"internal/SRA667709_SRS3065430__exact500_allqc_sct_model.rds",1800,12884901888,1,0,"closed",FALSE
"mv08n_residual_source_queue_v1",33,"internal124","primary90","SRA667709_SRS3065431",1410,5,384,"640783ac77aaf866c9269f376841cf4294ce4e9aa962cf944b19bd3c526d3de8","none","closed_pending_sentinel",FALSE,"internal/SRA667709_SRS3065431__exact500_allqc_sct_model.rds",1800,12884901888,1,0,"closed",FALSE
"mv08n_residual_source_queue_v1",34,"internal124","added34","SRA701877_SRS3279684",1885,5,384,"a36558b9f3b73987e1a34da7085b5855280a5cd6f29322696dbd498fcf90b0ad","none","closed_pending_sentinel",FALSE,"internal/SRA701877_SRS3279684__exact500_allqc_sct_model.rds",1800,12884901888,1,0,"closed",FALSE
"mv08n_residual_source_queue_v1",35,"internal124","added34","SRA701877_SRS3279685",943,5,384,"560a25a46e039d730828a1d264dfdb40fca81671b6105c33b38fd63cfca53f10","none","closed_pending_sentinel",FALSE,"internal/SRA701877_SRS3279685__exact500_allqc_sct_model.rds",1800,12884901888,1,0,"closed",FALSE
"mv08n_residual_source_queue_v1",36,"internal124","added34","SRA701877_SRS3279686",1632,5,384,"a282e32adb5f62c46e472a13ac4e3db74b7d24948b638e32264937684a39eec0","none","closed_pending_sentinel",FALSE,"internal/SRA701877_SRS3279686__exact500_allqc_sct_model.rds",1800,12884901888,1,0,"closed",FALSE
"mv08n_residual_source_queue_v1",37,"internal124","added34","SRA701877_SRS3279687",2106,5,384,"0bcb5b6d6730fb3e301d883c66615bf7b7f8e0996faa4280046b58c8d1d894fb","none","closed_pending_sentinel",FALSE,"internal/SRA701877_SRS3279687__exact500_allqc_sct_model.rds",1800,12884901888,1,0,"closed",FALSE
"mv08n_residual_source_queue_v1",38,"internal124","added34","SRA701877_SRS3279688",396,5,384,"b5fc88c6ebe85042b0a163f43a6e03966ec70c65900f12383711698d84762dd2","internal_minimum_cell_sentinel","source_view_sentinel_authorized",FALSE,"internal/SRA701877_SRS3279688__exact500_allqc_sct_model.rds",1800,12884901888,1,0,"closed",FALSE
"mv08n_residual_source_queue_v1",39,"internal124","added34","SRA701877_SRS3279689",1090,5,384,"9dea14ec77417ce6c648c7b719154e45672cfe59b424721794bf5aa7c4ea3f44","none","closed_pending_sentinel",FALSE,"internal/SRA701877_SRS3279689__exact500_allqc_sct_model.rds",1800,12884901888,1,0,"closed",FALSE
"mv08n_residual_source_queue_v1",40,"internal124","added34","SRA701877_SRS3279690",2157,5,384,"f880e73265ebf278305d60ef2da186027fb634c2dc9ac2870099e0a20bf9e185","none","closed_pending_sentinel",FALSE,"internal/SRA701877_SRS3279690__exact500_allqc_sct_model.rds",1800,12884901888,1,0,"closed",FALSE
"mv08n_residual_source_queue_v1",41,"internal124","added34","SRA701877_SRS3279691",1640,5,384,"23b397551655ef8ee1fe45fee122c779ef9c391574828d3413d52ec0183cf239","none","closed_pending_sentinel",FALSE,"internal/SRA701877_SRS3279691__exact500_allqc_sct_model.rds",1800,12884901888,1,0,"closed",FALSE
"mv08n_residual_source_queue_v1",42,"internal124","added34","SRA701877_SRS3279692",2619,5,384,"b639ad9600a620ce835f19429281c6464f3470563c86a2d7a372d3939e3ee018","none","closed_pending_sentinel",FALSE,"internal/SRA701877_SRS3279692__exact500_allqc_sct_model.rds",1800,12884901888,1,0,"closed",FALSE
"mv08n_residual_source_queue_v1",43,"internal124","added34","SRA701877_SRS3279693",2491,5,384,"62ac41fb3011395bd8c7fdb0b1afcc47043afdfa1b8298e21ec968cdaad79c73","none","closed_pending_sentinel",FALSE,"internal/SRA701877_SRS3279693__exact500_allqc_sct_model.rds",1800,12884901888,1,0,"closed",FALSE
