"comparison_order","dataset_scope","contrast_id","seed","homology_dimension","metric","value"
17,"internal124","layer_effect",20260805,"H1","left_median_distance",0.0268523765861435
17,"internal124","layer_effect",20260805,"H1","mean_neighbor_jaccard",0.318012845926558
17,"internal124","layer_effect",20260805,"H1","median_abs_median_scaled_change",0.107635952101635
17,"internal124","layer_effect",20260805,"H1","median_neighbor_jaccard",0.333333333333333
17,"internal124","layer_effect",20260805,"H1","nonnegative_scale",1.1801619932354
17,"internal124","layer_effect",20260805,"H1","p10_neighbor_jaccard",0.130718954248366
17,"internal124","layer_effect",20260805,"H1","p95_abs_median_scaled_change",0.352950188428184
17,"internal124","layer_effect",20260805,"H1","pearson",0.917680094366329
17,"internal124","layer_effect",20260805,"H1","relative_stress",0.152129990141599
17,"internal124","layer_effect",20260805,"H1","right_median_distance",0.0323439749050355
17,"internal124","layer_effect",20260805,"H1","spearman",0.897897088137934
20,"internal124","layer_effect",20260806,"H1","left_median_distance",0.0275126351768027
20,"internal124","layer_effect",20260806,"H1","mean_neighbor_jaccard",0.307414204635317
20,"internal124","layer_effect",20260806,"H1","median_abs_median_scaled_change",0.116025985601392
20,"internal124","layer_effect",20260806,"H1","median_neighbor_jaccard",0.333333333333333
20,"internal124","layer_effect",20260806,"H1","nonnegative_scale",1.16958554036678
20,"internal124","layer_effect",20260806,"H1","p10_neighbor_jaccard",0.111111111111111
20,"internal124","layer_effect",20260806,"H1","p95_abs_median_scaled_change",0.362953104719119
20,"internal124","layer_effect",20260806,"H1","pearson",0.912157095386829
20,"internal124","layer_effect",20260806,"H1","relative_stress",0.159798704938849
20,"internal124","layer_effect",20260806,"H1","right_median_distance",0.0326639282923475
20,"internal124","layer_effect",20260806,"H1","spearman",0.893413323907739
23,"internal124","layer_effect",20260807,"H1","left_median_distance",0.0272059447057426
23,"internal124","layer_effect",20260807,"H1","mean_neighbor_jaccard",0.283751727150309
23,"internal124","layer_effect",20260807,"H1","median_abs_median_scaled_change",0.114840724733801
23,"internal124","layer_effect",20260807,"H1","median_neighbor_jaccard",0.25
23,"internal124","layer_effect",20260807,"H1","nonnegative_scale",1.18501757673386
23,"internal124","layer_effect",20260807,"H1","p10_neighbor_jaccard",0.111111111111111
23,"internal124","layer_effect",20260807,"H1","p95_abs_median_scaled_change",0.383747897645311
23,"internal124","layer_effect",20260807,"H1","pearson",0.903052811413041
23,"internal124","layer_effect",20260807,"H1","relative_stress",0.164596960245578
23,"internal124","layer_effect",20260807,"H1","right_median_distance",0.032898908117936
23,"internal124","layer_effect",20260807,"H1","spearman",0.879213004399276
26,"internal124","layer_effect",20260808,"H1","left_median_distance",0.0273054720296919
26,"internal124","layer_effect",20260808,"H1","mean_neighbor_jaccard",0.305908176014538
26,"internal124","layer_effect",20260808,"H1","median_abs_median_scaled_change",0.114520040171734
26,"internal124","layer_effect",20260808,"H1","median_neighbor_jaccard",0.333333333333333
26,"internal124","layer_effect",20260808,"H1","nonnegative_scale",1.18542682486121
26,"internal124","layer_effect",20260808,"H1","p10_neighbor_jaccard",0.176470588235294
26,"internal124","layer_effect",20260808,"H1","p95_abs_median_scaled_change",0.354850964139586
26,"internal124","layer_effect",20260808,"H1","pearson",0.912402151798904
26,"internal124","layer_effect",20260808,"H1","relative_stress",0.156200426071486
26,"internal124","layer_effect",20260808,"H1","right_median_distance",0.0331469722938972
26,"internal124","layer_effect",20260808,"H1","spearman",0.894717040035536
29,"internal124","layer_effect",20260809,"H1","left_median_distance",0.0273588059659983
29,"internal124","layer_effect",20260809,"H1","mean_neighbor_jaccard",0.310378277165204
29,"internal124","layer_effect",20260809,"H1","median_abs_median_scaled_change",0.113202439973125
