"contract_id","source_order","dataset_scope","unit_id","fit_cells","source_origin","cache_bytes","cache_sha256","worker_audit_sha256","private_locator_state","outcome_label_state","biological_outcomes_computed"
"mv08r_source_cache_binding_v1",50,"internal124","SRA713577_SRS3363004",3326,"mv08q_production",15641386,"01b15dacd691631e1f4e4df809f39720fdbe100c1c4aed6a0b789d0d91d6058d","95923f0f073d100ab2248723f41f3100abd4eae9c0da428732bce990d9ba3db8","runtime_argument_only_not_public","closed",FALSE
"mv08r_source_cache_binding_v1",51,"internal124","SRA716608_SRS3391629",1043,"mv08q_production",15641386,"2dfa8e7bdbf67f6c1cde2a4282e27f98b0011a584366b89dca40eefa02118114","6a8c60126f0601bcb163ff1ede36bbecdee6539d47471b22fd0fa520bb5fe707","runtime_argument_only_not_public","closed",FALSE
"mv08r_source_cache_binding_v1",52,"internal124","SRA716608_SRS3391630",2284,"mv08q_production",15641386,"e3ff036e675931dd63a45ce05500f715dea55d16354e971c6590865ac6a16044","6a74365bdec8ecb3e3503b7bc7fdee9de0ce6909f8de52f0679a7415baaf3945","runtime_argument_only_not_public","closed",FALSE
"mv08r_source_cache_binding_v1",53,"internal124","SRA716608_SRS3391631",847,"mv08q_production",15641386,"328eeaf940b9f14d156714dfe1e124f9a8e210a589ee70dabd1f4b9b815c8969","64cd0cee387e98b96f73b100c57de3109f94b287483f317c696755eb31924f35","runtime_argument_only_not_public","closed",FALSE
"mv08r_source_cache_binding_v1",54,"internal124","SRA716608_SRS3391632",554,"mv08q_production",15641386,"92f7d8ca5ecccdbdfeff37caee4b0ee692cab1203ed8bf7054c727254fac8c7c","88ab74d2217c620cfc0af31714c3e53f1a3d513f103709b1f9d5de91222ed48a","runtime_argument_only_not_public","closed",FALSE
"mv08r_source_cache_binding_v1",55,"internal124","SRA716608_SRS3391633",1721,"mv08q_production",15641386,"598ef3ea2de8016bd06335b04fd0b0d437cf4b18d8690de72701c2861e146681","8a116eaf27e52b7efebc7e03ee0921bb1a7d6bd9f745624084d9f6f9b32498b2","runtime_argument_only_not_public","closed",FALSE
"mv08r_source_cache_binding_v1",56,"internal124","SRA728025_SRS3454421",586,"mv08q_production",15641386,"ecb124c7260dd419d83a8ee62cd281fabfee41bb50bc4187c668bfc5c9e7a233","997a4bada87cde85c1e923f0fc0ad6af9281f63322945d4431fd9b0b5e03146f","runtime_argument_only_not_public","closed",FALSE
"mv08r_source_cache_binding_v1",57,"internal124","SRA728025_SRS3454422",484,"mv08q_production",15641386,"716afc360457e609fa153e96bd5e42cf26a27dba432759b01fdfcac55a5882ff","bc35724df95dbe6c5b7f726fedda2d961fc315935bf3dd50cb3a1c0405300b50","runtime_argument_only_not_public","closed",FALSE
"mv08r_source_cache_binding_v1",58,"internal124","SRA728025_SRS3454423",421,"mv08q_production",15641386,"abc74c57c8050573576121ce43f3598be45a4eb5bb0b0441e5adee032ae7c09c","50059d895cb02b912f77b500d8e3da5834a058d6d260873e022969750916a7ee","runtime_argument_only_not_public","closed",FALSE
"mv08r_source_cache_binding_v1",59,"internal124","SRA728025_SRS3454424",1228,"mv08q_production",15641386,"ab312971f32e6818cb6a52cbbdd6f80884381b36302b484f418bfd9efd44552c","a37aee9b4983c07449461c7ac362d5fe2a82fd8dcb8dd07c8ae92758d4db9172","runtime_argument_only_not_public","closed",FALSE
"mv08r_source_cache_binding_v1",60,"internal124","SRA728025_SRS3454425",1710,"mv08q_production",15641386,"f09d2c21be0f85b48a1bc0b321113d80da66885337a2360dc73b7514abdce99e","a7dda2c535ff3fa87448e24a562a2b50d98f605da7f9b73868060e329a54813e","runtime_argument_only_not_public","closed",FALSE
"mv08r_source_cache_binding_v1",61,"internal124","SRA728025_SRS3454426",2009,"mv08q_production",15641386,"9d9371c2edcc6bf03ca43d6290074d732725266d98816b93f75837fb635d850a","8ffaf7953a270f2acb2fd7d47907d98d779cceb70476f4de28339dbd86955d0a","runtime_argument_only_not_public","closed",FALSE
"mv08r_source_cache_binding_v1",62,"internal124","SRA728025_SRS3454427",1280,"mv08q_production",15641386,"fcc771e9dd655471e8f911664a73c814765eeef575717a476e4d1b3d28b8f789","028b4bfb49b8da1bf7c45ab8c922c394459c76a0b8df4e4d67a563b04c4e95f1","runtime_argument_only_not_public","closed",FALSE
"mv08r_source_cache_binding_v1",63,"internal124","SRA728025_SRS3454428",1473,"mv08q_production",15641386,"6e281bae18ed8efeee443e6ca956a91d202fb8aa665e55494e559f046911022a","5bca13b0ad5c9b06ff76ed3698bc59e96ac0713dac353c16aa47f3eb759b9c73","runtime_argument_only_not_public","closed",FALSE
"mv08r_source_cache_binding_v1",64,"internal124","SRA728025_SRS3454430",2127,"mv08q_production",15641386,"791853a71eaf8451eda90f25fb34e66c44eca96a71cf97771192bf69674e5d21","0a5e84e8d2569a9369965929f4c937f899d1aaef5d1769be7a13a227001effdf","runtime_argument_only_not_public","closed",FALSE
"mv08r_source_cache_binding_v1",65,"internal124","SRA740174_SRS3548780",614,"mv08q_production",15641386,"fff23b4bb058cf30044f2175d5e7366db0f1f9c2fa6f07f3edf53cfeccf14c02","f9bf143b1bd87decad7e096ebce291523026c028ab0b64d165035c0785ea231e","runtime_argument_only_not_public","closed",FALSE
"mv08r_source_cache_binding_v1",66,"internal124","SRA740174_SRS3548781",952,"mv08q_production",15641386,"0d9595b67b1984111e2344dc38ab6fe6df8c56b6eaa8910251a36169215ea4bb","47e688427b5c73e0cc24a1f560636e1f5e685754f76ab34c1325259511fa9aa9","runtime_argument_only_not_public","closed",FALSE
"mv08r_source_cache_binding_v1",67,"internal124","SRA740174_SRS3548782",646,"mv08q_production",15641386,"34ad8563aa1802b6106d8fb89ff82e8ac4ada230f30884d9a65a6d32db9b877f","61ff1fa4a3566ff7626856190e3b5216fab70e2fdebbcafd3e07fd30dcbb4afd","runtime_argument_only_not_public","closed",FALSE
"mv08r_source_cache_binding_v1",68,"internal124","SRA740174_SRS3548783",955,"mv08q_production",15641386,"10768e771d81dcde4694e205ce9e9d020e0a098239bedb474aa532c5ecc91302","7398ca5ad6bf8b6c74afe9015d1af94f18b454528a0abcff26a0828d394c87f1","runtime_argument_only_not_public","closed",FALSE
"mv08r_source_cache_binding_v1",69,"internal124","SRA742961_SRS3565195",5718,"mv08q_production",15641386,"338c7825e1617f7ba8aca693d9b0c7079a8757d15f6ddab996800fad807255cc","f153c89eaaa666bd39564c4f3371c9fc0b67087db830ad03009f69471f686ee1","runtime_argument_only_not_public","closed",FALSE
"mv08r_source_cache_binding_v1",70,"internal124","SRA742961_SRS3565196",7791,"mv08q_production",15641386,"05264945e8ec1333d84da5b10b89908f1e571ff3b7a30704564dd2ecb571e58c","32665ddedc76d7f7c9ea749a8079cdeded9f520773c27de25e8f28ffaa169ad0","runtime_argument_only_not_public","closed",FALSE
"mv08r_source_cache_binding_v1",71,"internal124","SRA742961_SRS3565197",11475,"mv08o_primary",15641386,"3088038fbba2b0c36779620b5a0054068fae5cec1d3a84dc47d1a4335bb518a4","59dbd55bd2bca07219fa76dde256e975a57a5576874b77352da39a4ab748584a","runtime_argument_only_not_public","closed",FALSE
