"view","contribution","cumulative_fraction"
"gene",0.000643716687657256,0.485051140833989
"gene",0.000652616596035045,0.488329399423027
"gene",0.000659797039581185,0.491738788355626
"gene",0.000670442445241127,0.495017046944663
"gene",0.000678096079092097,0.498426435877262
"gene",0.000686871026015614,0.5017046944663
"gene",0.00069395441622976,0.505114083398899
"gene",0.00070043524953405,0.508392341987936
"gene",0.000707950334427595,0.511801730920535
"gene",0.000714827323792545,0.515079989509573
"gene",0.000722265958605622,0.518489378442171
"gene",0.000729593000445933,0.521767637031209
"gene",0.000738957796807021,0.525177025963808
"gene",0.000745515390630765,0.528455284552846
"gene",0.000754275390007852,0.531864673485445
"gene",0.000761106151247769,0.535142932074482
"gene",0.000768256063944077,0.538552321007081
"gene",0.000774206901944763,0.541830579596119
"gene",0.000780658092716825,0.545239968528718
"gene",0.000788068843872871,0.548518227117755
"gene",0.000794065090990924,0.551927616050354
"gene",0.000801548517605756,0.555205874639392
"gene",0.000810162940540092,0.558615263571991
"gene",0.000821333699890729,0.561893522161028
"gene",0.000831017844814845,0.565302911093627
"gene",0.000840099548619411,0.568581169682665
"gene",0.000847344993076227,0.571990558615264
"gene",0.00085708489580595,0.575268817204301
"gene",0.000868905937215866,0.5786782061369
"gene",0.000876139683115894,0.581956464725938
"gene",0.000883493695835965,0.585365853658537
"gene",0.000892874124532581,0.588644112247574
"gene",0.000903469215528315,0.592053501180173
"gene",0.000912265810462871,0.595331759769211
"gene",0.000921166769642734,0.59874114870181
"gene",0.000933168972478616,0.602019407290847
"gene",0.000943325961112858,0.605428796223446
"gene",0.000950198115563257,0.608707054812484
"gene",0.000960907080071459,0.612116443745083
"gene",0.000972096888522903,0.61539470233412
"gene",0.000980248344584727,0.618804091266719
"gene",0.000994314278510366,0.622082349855757
"gene",0.00100518879853653,0.625491738788356
"gene",0.00102028205026979,0.628769997377393
"gene",0.00103237858516395,0.632179386309992
"gene",0.00104214098928969,0.63545764489903
"gene",0.00105321906319562,0.638867033831629
"gene",0.00106742524511818,0.642145292420666
"gene",0.00108018712847464,0.645554681353265
"gene",0.00108897714043658,0.648832939942303
"gene",0.00110032705361158,0.652242328874902
"gene",0.00111231534292357,0.655520587463939
"gene",0.00112339375979196,0.658929976396538
"gene",0.00113357587230973,0.662208234985576
"gene",0.00114625991354557,0.665617623918175
"gene",0.00115425047543133,0.668895882507212
"gene",0.00116951863397337,0.672305271439811
"gene",0.00118514666498116,0.675583530028849
"gene",0.00120125042499828,0.678992918961448
"gene",0.00121452250692445,0.682271177550485
"gene",0.00122869017894288,0.685680566483084
"gene",0.00124286114972278,0.688958825072122
"gene",0.00125960585407451,0.692368214004721
"gene",0.00127564009713015,0.695646472593758
"gene",0.00128763079687606,0.699055861526357
"gene",0.0013026073817119,0.702334120115395
"gene",0.00132356049694793,0.705743509047994
"gene",0.0013410368997236,0.709021767637031
"gene",0.001348831562045,0.71243115656963
"gene",0.00136208739736562,0.715709415158668
"gene",0.00138026151714653,0.719118804091267
"gene",0.00139669152037725,0.722397062680304
"gene",0.00141253581412832,0.725806451612903
"gene",0.00143116121056924,0.729084710201941
"gene",0.00144952705289232,0.73249409913454
"gene",0.00146973862478782,0.735772357723577
"gene",0.00148782571044951,0.739181746656176
"gene",0.00150440479066482,0.742460005245214
"gene",0.0015166812895686,0.745869394177813
"gene",0.00153481302727593,0.74914765276685
"gene",0.00155234896714317,0.752557041699449
"gene",0.00157051351431327,0.755835300288487
"gene",0.0015915569161054,0.759244689221086
"gene",0.00160965966722949,0.762522947810123
"gene",0.00163483073918388,0.765932336742722
"gene",0.00164815580232855,0.76921059533176
"gene",0.00167232289666102,0.772619984264359
"gene",0.00169699182698318,0.775898242853396
"gene",0.00172162692916333,0.779307631785995
"gene",0.0017436812554516,0.782585890375033
"gene",0.00176606683646409,0.785995279307632
"gene",0.00179165933917337,0.789273537896669
