"dimension","birth","death","homology"
0,0,5.28420381542162,"H0"
0,0,5.28857012857129,"H0"
0,0,5.29434726475949,"H0"
0,0,5.29687241248118,"H0"
0,0,5.30367574929839,"H0"
0,0,5.30399835517865,"H0"
0,0,5.30886500481096,"H0"
0,0,5.3096007215186,"H0"
0,0,5.3176412064908,"H0"
0,0,5.32061279196169,"H0"
0,0,5.32068288134765,"H0"
0,0,5.32611424635454,"H0"
0,0,5.327345639389,"H0"
0,0,5.32792388015555,"H0"
0,0,5.33286917342135,"H0"
0,0,5.33348328727698,"H0"
0,0,5.33502532780013,"H0"
0,0,5.33874575894835,"H0"
0,0,5.34196106085805,"H0"
0,0,5.34682391577001,"H0"
0,0,5.35836902181586,"H0"
0,0,5.36868511478226,"H0"
0,0,5.38953925727907,"H0"
0,0,5.39584853053986,"H0"
0,0,5.41091387603662,"H0"
0,0,5.41778166663554,"H0"
0,0,5.41948765800668,"H0"
0,0,5.42461414759285,"H0"
0,0,5.42578821319797,"H0"
0,0,5.42986394390751,"H0"
0,0,5.43248963508183,"H0"
0,0,5.44416498516554,"H0"
0,0,5.450131928678,"H0"
0,0,5.45027746546566,"H0"
0,0,5.45047610102091,"H0"
0,0,5.45949063109659,"H0"
0,0,5.46395585686931,"H0"
0,0,5.47233152876849,"H0"
0,0,5.47699242247404,"H0"
0,0,5.47898814960721,"H0"
0,0,5.48709984201756,"H0"
0,0,5.48877530448088,"H0"
0,0,5.49176032833622,"H0"
0,0,5.50328044645625,"H0"
0,0,5.50406087837592,"H0"
0,0,5.50701339851622,"H0"
0,0,5.50929912544057,"H0"
0,0,5.51339745458498,"H0"
0,0,5.51622688142152,"H0"
0,0,5.52053138138356,"H0"
0,0,5.52095785021856,"H0"
0,0,5.52937173458205,"H0"
0,0,5.55268450320621,"H0"
0,0,5.55510913971674,"H0"
0,0,5.57314377834822,"H0"
0,0,5.5835899104944,"H0"
0,0,5.58815443204447,"H0"
0,0,5.59348779806937,"H0"
0,0,5.59367460500555,"H0"
0,0,5.59709017220001,"H0"
0,0,5.59784513030742,"H0"
0,0,5.60066716956514,"H0"
0,0,5.61181283306869,"H0"
0,0,5.61477793398885,"H0"
0,0,5.62406402052412,"H0"
0,0,5.63701907817737,"H0"
0,0,5.64756331508614,"H0"
0,0,5.65311126701275,"H0"
0,0,5.67197548713555,"H0"
0,0,5.67407044213749,"H0"
0,0,5.68080904622187,"H0"
0,0,5.68622540554097,"H0"
0,0,5.69155446228094,"H0"
0,0,5.69221770590526,"H0"
0,0,5.69783500090972,"H0"
0,0,5.70140620452439,"H0"
0,0,5.70242894658125,"H0"
0,0,5.70525305303812,"H0"
0,0,5.73285671519262,"H0"
0,0,5.73730308077271,"H0"
0,0,5.74159149426182,"H0"
0,0,5.74354214048294,"H0"
0,0,5.75779586543799,"H0"
0,0,5.76677012897013,"H0"
0,0,5.76728161246474,"H0"
0,0,5.77271320238011,"H0"
0,0,5.78901122646701,"H0"
0,0,5.79018981212658,"H0"
0,0,5.7952612242809,"H0"
0,0,5.80764849919632,"H0"
0,0,5.80943101223006,"H0"
0,0,5.80993841250514,"H0"
0,0,5.82921590234242,"H0"
0,0,5.83904070174109,"H0"
0,0,5.83965376152528,"H0"
0,0,5.84161150995603,"H0"
0,0,5.84222308102325,"H0"
0,0,5.84470213586498,"H0"
0,0,5.85642445865223,"H0"
0,0,5.87546064707675,"H0"
0,0,5.88065060145096,"H0"
0,0,5.88254376662308,"H0"
0,0,5.8845211387124,"H0"
0,0,5.88950265052312,"H0"
0,0,5.89859481787108,"H0"
0,0,5.92865336578284,"H0"
0,0,5.93170150083863,"H0"
0,0,5.95454054221926,"H0"
0,0,5.95928688349162,"H0"
0,0,5.96403497277736,"H0"
0,0,5.96856224299221,"H0"
0,0,5.96860723379902,"H0"
0,0,5.99023983159779,"H0"
0,0,5.99125862526722,"H0"
0,0,6.00436782258356,"H0"
0,0,6.00801760782535,"H0"
0,0,6.01036479041855,"H0"
0,0,6.04202335248447,"H0"
